top,left,line_height,font_size,bold,text
73.2,95.8,10.0,10.0,False,3.5 Ontario Library Association representative (ex-officio)  (OLA to appoint one representative)
84.8,126.1,10.0,10.0,False,- Role of the OLA ex-officio member: To act as a liaison between the steering committee and
96.3,126.1,10.0,10.0,False,"the OLA Board, and to assist the chair with the administrative responsibilities connected with"
107.8,126.1,10.0,10.0,False,"the preparation of the business plan, finance, and communications."
130.8,95.8,10.0,10.0,False,"3.6 It is anticipated that as planning for the ODL evolves, the Steering Committee may, at its"
142.3,95.8,10.0,10.0,False,"discretion, call on invited experts to advise on issues as required."
165.2,90.1,10.0,10.0,True,4. Appointment Criteria and Process
188.9,95.8,10.0,10.0,False,4.1
188.9,126.1,10.0,10.0,False,Groups and organizations named in Section 3 above are responsible for appointing up to two
200.9,131.8,10.0,10.0,False,representatives to the Steering Committee.
224.9,95.8,10.0,10.0,False,4.2
224.9,126.1,10.0,10.0,False,Desired characteristics for steering committee appointees include:
249.0,108.1,10.0,10.0,False,&#x2022;
249.0,126.1,10.0,10.0,False,Strategic thinkers;
261.2,108.1,10.0,10.0,False,&#x2022;
261.2,126.1,10.0,10.0,False,Committed to the concept of multi-sector partnerships;
273.4,108.1,10.0,10.0,False,&#x2022;
273.4,126.1,10.0,10.0,False,Knowledgeable about digital libraries and resources;
285.6,108.1,10.0,10.0,False,&#x2022;
285.6,126.1,10.0,10.0,False,Knowledgeable about government structures;
297.7,108.1,10.0,10.0,False,&#x2022;
297.7,126.1,10.0,10.0,False,Respected by their communities; influential;
309.9,108.1,10.0,10.0,False,&#x2022;
309.9,126.1,10.0,10.0,False,Able to take a consultative approach;
322.4,108.0,12.0,12.0,False,&#x2022;
324.1,126.0,10.0,10.0,False,Able to devote time to Steering Committee business: approximately one day per month for
337.3,126.0,10.0,10.0,False,meetings plus 2-3 working days per month on related activities.
360.7,90.0,10.0,10.0,True,5. Term
383.8,95.8,10.0,10.0,False,Expected term on the Steering Committee is the time required to complete development of the
395.2,95.8,10.0,10.0,False,business plan plus two months. This process is expected to take approximately 6 months.
418.2,90.0,10.0,10.0,True,6. Chair
441.3,95.8,10.0,10.0,False,Chair will be appointed by the Board of the Ontario Library Association.
466.5,95.8,10.0,10.0,False,Role of the Chair:
489.5,95.8,10.0,10.0,False,In addition to the characteristics for appointees (4.2) the role of the chair will be as a process agent
501.1,95.8,10.0,10.0,False,"working with the selected consultant(s), OLA, and the Steering Committee to prepare the business"
512.6,95.8,10.0,10.0,False,plan. The chair must be able to devote 5-8 days per month on activities related to the preparation of
524.1,95.8,10.0,10.0,False,"the business plan, and communications to stakeholders, funders, and government."
546.9,90.0,10.0,10.0,True,7. Meetings
570.1,95.8,10.0,10.0,False,It is expected that in person meetings are held once per month and the majority of business will be
581.6,95.8,10.0,10.0,False,"conducted by e-mail, and teleconference."
604.4,90.0,10.0,10.0,True,8. Lines of Accountability and Communication
627.5,95.8,10.0,10.0,False,"8.1 The Steering Committee is accountable to the Province of Ontario, and to its business plan"
639.1,131.8,10.0,10.0,False,funders.
662.1,95.8,10.0,10.0,False,8.2 The role of the Ontario Library Association is to assume responsibility for  funds contributed by the
673.5,131.8,10.0,10.0,False,"ODL funders to finance the business plan, to hold the funds in a separate account, and"
685.0,131.8,10.0,10.0,False,disperse them for purposes as  directed by the Steering Committee. OLA will provide
696.6,131.8,10.0,10.0,False,financial reports to the Steering Committee as requested and shall comply with all
708.1,131.8,10.0,10.0,False,government reporting regulations for funds received.
733.7,511.1,9.0,9.0,False,12
733.9,510.9,9.0,9.0,False,12
733.9,511.1,9.0,9.0,False,12
733.7,510.9,9.0,9.0,False,12
