top,left,line_height,font_size,bold,text
94.6,90.0,20.0,20.0,False,Ontario&#x2019;s Digital Library
122.0,90.0,16.0,16.0,False,A Critical Component for Implementing Ontario&#x2019;s Road Map to
140.3,90.0,16.0,16.0,False,Prosperity Strategy
199.3,96.0,12.0,12.0,False,Summary
229.7,96.0,11.0,11.0,True,The purpose of this Request for Proposal (RFP) is to invite firms and/or consultants to
242.3,96.0,11.0,11.0,True,present a proposal for developing the business plan for the Ontario Digital Library (ODL).
255.0,96.0,11.0,11.0,False,The ODL will deliver high-quality library electronic content to all Ontario residents in order to
267.8,96.0,11.0,11.0,False,"assist people as they learn, work, and enhance their quality of life. The business plan to be"
280.4,96.0,11.0,11.0,False,developed is to document and clearly communicate:
305.1,132.0,11.0,11.0,False,"how the ODL will be implemented, including the timeline"
317.7,132.0,11.0,11.0,False,the financial plan for the implementation
330.3,132.0,11.0,11.0,False,"the financial plan for the first 2 operating years, including capital and operating costs,"
343.0,132.6,11.0,11.0,False,"revenues, etc."
355.6,132.0,11.0,11.0,False,a financial forecast for the succeeding 2 operating years
368.3,132.0,11.0,11.0,False,the services and products to be delivered by the ODL
380.9,132.0,11.0,11.0,False,how the ODL will operate and be managed following the implementation
393.5,132.0,11.0,11.0,False,"who will be involved, and what their role/responsibility will be, for both the"
406.2,132.6,11.0,11.0,False,implementation and operational stages
418.8,132.0,11.0,11.0,False,the marketing and communications plan for the ODL
444.1,96.0,11.0,11.0,False,This business plan must be completed and approved by the ODL Steering Committee no
456.7,96.0,11.0,11.0,False,"later than September 30, 2003"
481.5,96.0,11.0,11.0,False,Timeline:
506.0,96.0,11.0,11.0,False,Those firms/consultants intended to submit a proposal to this RFP must indicate their
518.8,96.0,11.0,11.0,True,intention to do so in an e-mail to Michael Ridley (mridley@uoguelph.ca) by April 11th.
543.4,96.0,11.0,11.0,False,"Proposals may be e-mailed, mailed, couriered or faxed to: Larry Moore"
556.0,96.0,11.0,11.0,False,"(lmoore@accessola.com), Executive Director, The Ontario Library Association, 100 Lombard"
569.6,96.0,10.0,10.0,True,"St., Suite 303, Toronto, ON  M5C 1M3. Proposals must be received by Noon on Monday,"
581.3,96.0,11.0,11.0,True,"April 21, 2003."
606.0,96.0,11.0,11.0,False,Those proposals that are short-listed will be invited to discuss their proposal during the week
618.6,96.0,11.0,11.0,True,"of April 28, 2003. No presentation will be expected. Firms or consultants invited to an"
631.4,96.0,11.0,11.0,False,interview will be expected to discuss the project and their approach with the selection
644.0,96.0,11.0,11.0,False,committee.
668.6,96.0,11.0,11.0,True,"Contracts with the firm/consultant will be signed the week of May 5, 2003 with the work to"
681.3,96.1,11.0,11.0,False,commence as soon as possible thereafter.
733.7,516.6,9.0,9.0,False,2
