top,left,line_height,font_size,bold,text
124.7,70.9,16.0,16.0,True,4. References
172.9,70.9,14.0,14.0,False,4.1 Trademarks
195.9,70.9,10.0,10.0,False,The following registered trademarks and service marks are used in this document:
222.0,70.9,10.0,10.0,False,ISTQB&#xae; is a registered trademark of the International Software Testing Qualifications Board
258.9,70.9,14.0,14.0,False,4.2 Documents and Web Sites
281.9,76.3,10.0,10.0,True,Identifier
281.9,193.3,10.0,10.0,True,Reference
296.5,76.3,10.0,10.0,False,[ISTQB-Web]
296.5,193.3,10.0,10.0,False,Web site of the International Software Testing Qualifications Board. Refer
308.0,193.3,10.0,10.0,False,to this website for the latest ISTQB Glossary and Syllabi. (www.istqb.org)
720.1,267.6,10.0,10.0,False,Page 12 of 12
