top,left,line_height,font_size,bold,text
124.7,70.9,16.0,16.0,True,2. Introduction to Foundation Level Agile Tester Extension
147.3,70.9,10.0,10.0,False,The certification for Foundation Level Extension &#x2013; Agile Tester is designed for professionals who are
158.9,70.9,10.0,10.0,False,working within Agile environments. It is also for professionals who are planning to start implementing
170.4,70.9,10.0,10.0,False,"Agile methods in the near future, or are working within companies that plan to do so, The certification"
181.9,71.0,10.0,10.0,False,"provides an advantage for those who would like to know the required Agile activities, roles, methods, and"
193.3,71.0,10.0,10.0,False,methodologies specific to their role.
218.8,70.9,14.0,14.0,False,2.1 Intended Audience
241.9,70.9,10.0,10.0,False,The Foundation Level Extension &#x2013; Agile Tester qualification is aimed at four main groups of professionals:
253.4,88.9,10.0,10.0,False,1. Professionals who have achieved in-depth testing experience in traditional methods and would
265.0,106.9,10.0,10.0,False,like to get an Agile Tester Certificate.
276.5,88.9,10.0,10.0,False,"2. Junior professional testers who are just starting in the testing profession, have received the"
288.0,106.9,10.0,10.0,False,"Foundation Level certificate, and would like to know more about the tester&#x2019;s role in an Agile"
299.4,106.9,10.0,10.0,False,environment.
310.9,89.0,10.0,10.0,False,"3. Professionals who are relatively new to testing and are required to implement test approaches,"
322.5,107.0,10.0,10.0,False,methods and techniques in their day to day job in Agile projects.
334.0,89.0,10.0,10.0,False,4. Professionals who are experienced in their role (including unit testing) and need more
345.5,107.0,10.0,10.0,False,understanding and knowledge about how to perform and manage testing on all levels in Agile
357.0,107.0,10.0,10.0,False,projects.
380.0,71.0,10.0,10.0,False,"These professionals include people who are in roles such as testers, test analysts, test engineers, test"
391.5,71.0,10.0,10.0,False,"consultants, test managers, user acceptance testers, and software developers."
414.5,71.0,10.0,10.0,False,This Foundation Level Extension &#x2013; Agile Tester certification may also be appropriate for anyone who
426.1,71.0,10.0,10.0,False,"wants a deeper understanding of software testing in the Agile world, such as project managers, quality"
437.5,71.0,10.0,10.0,False,"managers, software development managers, business analysts, IT directors, and management"
449.0,71.0,10.0,10.0,False,consultants.
486.0,70.9,14.0,14.0,False,2.2 Career Paths for Testers
509.1,70.9,10.0,10.0,False,"Building on the Foundation Level, the Agile Tester Extension supports the definition of career paths for"
520.6,70.9,10.0,10.0,False,professional testers. A person with the Agile Tester certificate has extended the broad understanding of
532.1,70.9,10.0,10.0,False,testing acquired at the Foundation Level to enable him or her to work effectively as a professional tester in
543.5,71.0,10.0,10.0,False,an Agile project.
566.6,71.0,10.0,10.0,False,People possessing an ISTQB Foundation Level Extension &#x2013; Agile Tester certificate may use the Certified
578.1,71.0,10.0,10.0,False,Tester Foundation Level acronym CTFL-AT.
615.1,70.9,14.0,14.0,False,2.3 Learning Objectives
638.2,70.9,10.0,10.0,False,"In general, the Foundation Level syllabus is examinable at a K1 level, i.e., the candidate will recognize,"
649.7,70.9,10.0,10.0,False,remember and recall terms and concepts stated in the Foundation Level syllabus.
672.7,70.9,10.0,10.0,False,"In addition, all Foundation Level syllabus learning objectives are examinable at the same K- level in an"
684.2,70.9,10.0,10.0,False,extension exam.
720.1,270.2,10.0,10.0,False,Page 7 of 12
