top,left,line_height,font_size,bold,text
124.7,70.9,16.0,16.0,True,1. Introduction to the Foundation Level Extensions
147.3,70.9,10.0,10.0,False,This overview document is intended for anyone with an interest in the ISTQB Foundation Level
158.9,70.9,10.0,10.0,False,Extensions who wants a high-level introduction to the leading principles and an overview of the individual
170.4,70.9,10.0,10.0,False,extension syllabi.
193.3,70.9,10.0,10.0,False,"From time to time, ISTQB will update this document to reflect any additional extensions that shall be"
204.8,70.9,10.0,10.0,False,"introduced for the Foundation Level, or to reflect major changes in existing ones. Publications of the"
216.3,70.9,10.0,10.0,False,updated document will be available on the ISTQB website.
239.4,70.9,10.0,10.0,False,The ISTQB Foundation and Advanced Level syllabi have been defined and have been on the market for
250.8,70.9,10.0,10.0,False,some time. New topics emerge due to technology and methodology changes in the market which often
262.3,70.9,10.0,10.0,False,"are brought into the ISTQB program as new Expert Level syllabi. However, not all topics are suited for the"
273.9,70.9,10.0,10.0,False,"Expert Level. For this reason, the extension syllabi are established at the Foundation Level to expand the"
285.4,70.9,10.0,10.0,False,ISTQB program to incorporate new or updated knowledge. New extensions shall be discussed and
296.9,70.9,10.0,10.0,False,"introduced by the ISTQB periodically. Extensions may be established at the Advanced Level as well, but"
308.4,70.9,10.0,10.0,False,that is beyond the scope of this document.
331.4,70.9,10.0,10.0,False,The following Foundation Level Extension syllabus has been released:
343.6,89.0,10.0,10.0,False,&#xf0b7;
343.6,106.9,10.0,10.0,False,Agile Tester
366.5,71.0,10.0,10.0,False,"In this document, each Foundation Level Extension syllabus is summarized and the associated Business"
378.0,71.0,10.0,10.0,False,Outcomes are stated. The Business Outcomes communicate what can be expected from a person who
389.6,71.0,10.0,10.0,False,"achieves a Foundation Level Extension Certification in a particular subject area (e.g., Agile Tester), and"
401.1,71.0,10.0,10.0,False,will outline the benefits for companies that are considering the development of specific testing skills at this
412.6,71.0,10.0,10.0,False,level.
720.1,270.2,10.0,10.0,False,Page 6 of 12
