top,left,line_height,font_size,bold,text
62.7,430.8,10.0,10.0,False,Qualifications
62.7,493.5,10.0,10.0,False,Board
110.6,70.9,16.0,16.0,False,Acknowledgements
145.9,70.9,10.0,10.0,False,This document was produced by a team from the International Software Testing Qualifications Board
157.3,70.9,10.0,10.0,False,Foundation Level Working Group.
180.3,70.9,10.0,10.0,False,The Agile Extension team thanks the review team and the National Boards for their suggestions and input.
203.4,70.9,10.0,10.0,False,"At the time the Foundation Level Agile Extension Syllabus was completed, the Agile Extension Working"
214.8,70.9,10.0,10.0,False,"Group had the following membership: Rex Black (Chair), Bertrand Cornanguer (Vice Chair), Gerry"
226.3,70.9,10.0,10.0,False,"Coleman (Learning Objectives Lead), Debra Friedenberg (Exam Lead), Alon Linetzki (Business Outcomes"
237.9,70.9,10.0,10.0,False,"and Marketing Lead), Tauhida Parveen (Editor), and Leo van der Aalst (Development Lead)."
260.9,70.9,10.0,10.0,False,"Authors: Rex Black, Anders Claesson, Gerry Coleman, Bertrand Cornanguer, Istvan Forgacs, Alon"
272.4,70.9,10.0,10.0,False,"Linetzki, Tilo Linz, Leo van der Aalst, Marie Walsh, and Stephan Weber."
295.3,70.9,10.0,10.0,False,"Internal Reviewers: Mette Bruhn-Pedersen, Christopher Clements, Alessandro Collino, Debra"
306.9,70.9,10.0,10.0,False,"Friedenberg, Kari Kakkonen, Beata Karpinska, Sammy Kolluru, Jennifer Leger, Thomas Mueller, Tuula"
318.4,70.9,10.0,10.0,False,"P&#xe4;&#xe4;kk&#xf6;nen, Meile Posthuma, Gabor Puhalla, Lloyd Roden, Marko Rytk&#xf6;nen, Monika Stoecklein-Olsen,"
329.9,70.9,10.0,10.0,False,"Robert Treffny, Chris Van Bael, and Erik van Veenendaal."
352.8,70.9,10.0,10.0,False,"The team thanks also the following persons, from the National Boards and the Agile expert community,"
364.3,70.9,10.0,10.0,False,"who participated in reviewing, commenting, and balloting of the Foundation Agile Extension Syllabus: Dani"
375.9,70.9,10.0,10.0,False,"Almog, Richard Berns, Stephen Bird, Monika B&#xf6;gge, Afeng Chai, Josephine Crawford, Tibor Cs&#xf6;ndes,"
387.4,70.9,10.0,10.0,False,"Huba Demeter, Arnaud Foucal, Cyril Fumery, Kobi Halperin, Inga Hansen, Hanne Hinz, Jidong Hu, Phill"
398.9,70.9,10.0,10.0,False,"Isles, Shirley Itah, Martin Klonk, Kjell Lauren, Igal Levi, Rik Marselis, Johan Meivert, Armin Metzger, Peter"
410.5,70.9,10.0,10.0,False,"Morgan, Ninna Morin, Ingvar Nordstrom, Chris O&#x2019;Dea, Klaus Olsen, Ismo Paukamainen, Nathalie Phung,"
421.9,70.9,10.0,10.0,False,"Helmut Pichler, Salvatore Reale, Stuart Reid, Hans Rombouts, Petri S&#xe4;ilynoja, Soile Sainio, Lars-Erik"
433.4,70.9,10.0,10.0,False,"Sandberg, Dakar Shalom,  Jian Shen, Marco Sogliani, Lucjan Stapp, Yaron Tsubery, Sabine Uhde,"
444.9,70.9,10.0,10.0,False,"Stephanie Ulrich, Tommi V&#xe4;lim&#xe4;ki, Jurian Van de Laar, Marnix Van den Ent, Ant&#xf3;nio Vieira Melo, Wenye"
456.4,70.9,10.0,10.0,False,"Xu, Ester Zabar, Wenqiang Zheng, Peter Zimmerer, Stevan Zivanovic, and Terry Zuo."
479.4,70.9,10.0,10.0,False,"This document was formally approved for release by the General Assembly of the ISTQB&#xae; on May 31,"
490.9,70.9,10.0,10.0,False,2014.
720.1,270.2,10.0,10.0,False,Page 5 of 12
